reci recn reclat recscale
 0.492 27 102.275 0.01
 0.504 27 102.075 0.01
 0.516 27 101.975 0.01
 0.528 27 101.9 0.01
 0.54 27 101.825 0.01
 0.552 27 101.775 0.01
 0.564 9 101.725 0.01
 0.576 8 101.7 0.01
 0.588 7 101.65 0.01
 0.6 6 101.625 0.01
 0 0 600 0.011
 0.012 0 600 0.011
 0.024 0 600 0.011
 0.036 0 600 0.011
 0.048 3 297.225 0.011
 0.06 5 263.025 0.011
 0.072 6 241.7 0.011
 0.084 7 226.675 0.011
 0.096 8 215.4 0.011
 0.108 9 206.575 0.011
 0.12 10 199.45 0.011
 0.132 11 193.525 0.011
 0.144 12 188.525 0.011
 0.156 13 184.225 0.011
 0.168 14 180.5 0.011
 0.18 15 177.2 0.011
 0.192 15 174.275 0.011
 0.204 16 171.65 0.011
 0.216 17 169.3 0.011
 0.228 17 167.15 0.011
 0.24 18 165.175 0.011
 0.252 18 163.35 0.011
 0.264 19 161.7 0.011
 0.276 19 160.125 0.011
 0.288 20 158.675 0.011
 0.3 20 157.325 0.011
 0.312 21 156.075 0.011
 0.324 21 154.875 0.011
 0.336 22 153.725 0.011
 0.348 22 152.675 0.011
 0.36 22 151.65 0.011
 0.372 23 150.7 0.011
 0.384 23 149.775 0.011
 0.396 24 148.9 0.011
 0.408 24 148.075 0.011
 0.42 24 147.275 0.011
 0.432 25 146.525 0.011
 0.444 25 145.8 0.011
 0.456 25 145.1 0.011
 0.468 25 144.45 0.011
 0.48 26 143.825 0.011
 0.492 26 143.275 0.011
 0.504 26 142.85 0.011
 0.516 27 102.15 0.011
 0.528 27 101.975 0.011
 0.54 27 101.9 0.011
 0.552 27 101.825 0.011
 0.564 9 101.775 0.011
 0.576 8 101.725 0.011
 0.588 7 101.675 0.011
 0.6 6 101.625 0.011
 0 0 600 0.012
 0.012 0 600 0.012
 0.024 0 600 0.012
 0.036 0 600 0.012
 0.048 3 305.925 0.012
 0.06 5 270.4 0.012
 0.072 6 248.175 0.012
 0.084 7 232.525 0.012
 0.096 8 220.775 0.012
 0.108 9 211.55 0.012
 0.12 10 204.1 0.012
 0.132 11 197.925 0.012
 0.144 12 192.7 0.012
 0.156 13 188.225 0.012
 0.168 13 184.325 0.012
 0.18 14 180.9 0.012
 0.192 15 177.85 0.012
 0.204 16 175.125 0.012
 0.216 16 172.65 0.012
 0.228 17 170.425 0.012
 0.24 18 168.375 0.012
 0.252 18 166.5 0.012
 0.264 19 164.75 0.012
 0.276 19 163.15 0.012
 0.288 20 161.65 0.012
 0.3 20 160.25 0.012
 0.312 21 158.925 0.012
 0.324 21 157.7 0.012
 0.336 21 156.525 0.012
 0.348 22 155.425 0.012
 0.36 22 154.375 0.012
